,Class of Rating,Name,Rating Score,Review Number,URL
391,,Two-Bedroom on Western Avenue Apt N306,,,http://booking.com/hotel/us/apartment-on-western-avenue-n306.html#hotelTmpl
392,Exceptional,Little Pearl,9.8,6 reviews,http://booking.com/hotel/us/little-pearl.html#hotelTmpl
393,Good,Oakwood at Watermark Seaport,7.3,136 reviews,http://booking.com/hotel/us/watermark-seaport.html#hotelTmpl
394,Very Good,Bluebird Suites at West End,8.2,172 reviews,http://booking.com/hotel/us/bluebird-suites-at-west-end.html#hotelTmpl
395,Review score,The Ledder House 5,6.7,21 reviews,http://booking.com/hotel/us/the-ledder-house-5.html#hotelTmpl
396,Exceptional,Brighton Retreat,9.6,8 reviews,http://booking.com/hotel/us/brighton-retreat-boston.html#hotelTmpl
397,Good,Zakim's View,7.3,136 reviews,http://booking.com/hotel/us/zakims-view.html#hotelTmpl
398,Review score,Oakwood at 234 Newbury,6.9,204 reviews,http://booking.com/hotel/us/234-newbury.html#hotelTmpl
399,,One-Bedroom on Chestnut Hill Avenue Apt 9,,,http://booking.com/hotel/us/one-bedroom-on-chestnut-hill-avenue-apt-9.html#hotelTmpl
400,Excellent,Guild Street Townhouse,8.8,6 reviews,http://booking.com/hotel/us/guild-street-townhouse.html#hotelTmpl
401,Very Good,Beautiful Bunker Hill 2 Bd,10,172 reviews,http://booking.com/hotel/us/beautiful-bunker-hill-2-bd.html#hotelTmpl
402,Good,Renovated Apartment Near Airport,7.7,811 reviews,http://booking.com/hotel/us/boston.html#hotelTmpl
403,,One-Bedroom on Arch Street Apt 1B,,,http://booking.com/hotel/us/one-bedroom-apartment-on-arch-street-1b.html#hotelTmpl
404,,Colbyco at Andrew Square,,,http://booking.com/hotel/us/colbyco-at-andrew-square.html#hotelTmpl
405,,COZY&HOMEY 2BR APT! 1 FullBath & 1 free parking,,,http://booking.com/hotel/us/cozy-amp-homey-2br-apt-1-fullbath-amp-1-free-parking.html#hotelTmpl
406,,Copenger street 5BR/3BA,,,http://booking.com/hotel/us/copenger-street-5br-47-3ba.html#hotelTmpl
407,,301 on Washington Apts,,,http://booking.com/hotel/us/301-on-washington-apts.html#hotelTmpl
408,,206 on Washington Apts,,,http://booking.com/hotel/us/206-on-washington-apts.html#hotelTmpl
409,,201 on Washington Apts,,,http://booking.com/hotel/us/201-on-washington-apts.html#hotelTmpl
410,Excellent,North End Enchanted Cottage,8.6,"1,360 reviews",http://booking.com/hotel/us/north-end-enchanted-cottage.html#hotelTmpl
