,Class of Rating,Name,Rating Score,Review Number,URL
84,Very Good,Charlesmark Hotel,8.4,965 reviews,http://booking.com/hotel/us/charlesmark.html#hotelTmpl
85,Good,Hotel Boston,7.4,595 reviews,http://booking.com/hotel/us/hotel-boston.html#hotelTmpl
86,Good,One-Bedroom on Boylston Street Apt 9,7.8,823 reviews,http://booking.com/hotel/us/one-bedroom-on-boylston-street-apt-9.html#hotelTmpl
87,Excellent,Bricco Suites,8.7,398 reviews,http://booking.com/hotel/us/bricco-suites.html#hotelTmpl
88,Very Good,Hyatt Regency Boston,8.5,"1,382 reviews",http://booking.com/hotel/us/hyatt-regency-boston.html#hotelTmpl
89,Excellent,W Boston,8.7,677 reviews,http://booking.com/hotel/us/w-boston.html#hotelTmpl
90,Good,Found Hotel Boston Common,7.0,"2,992 reviews",http://booking.com/hotel/us/milner-b-boston-massachusettes.html#hotelTmpl
91,Excellent,DoubleTree Suites by Hilton Hotel Boston - Cambridge,8.6,977 reviews,http://booking.com/hotel/us/doubletree-guest-suites-boston.html#hotelTmpl
92,Excellent,Global Luxury Suites at Fenway,8.6,118 reviews,http://booking.com/hotel/us/luxury-apartments-in-the-heart-of-fenway.html#hotelTmpl
93,Very Good,Boston Harbor View Luxury Suites,8.2,172 reviews,http://booking.com/hotel/us/boston-harbor-view-luxury-suites.html#hotelTmpl
94,Excellent,One-Bedroom on St. Botolph Street Apt 10,8.6,"1,212 reviews",http://booking.com/hotel/us/one-bedroom-on-st-botolph-street-apt-10.html#hotelTmpl
95,Very Good,Two-Bedroom on Western Avenue Apt S - 404,8.0,"1,273 reviews",http://booking.com/hotel/us/condo-on-western-avenue-404.html#hotelTmpl
96,Review score,Constitution Inn,6.7,"1,406 reviews",http://booking.com/hotel/us/constitution-inn.html#hotelTmpl
97,Review score,Patrick's Place,10,892 reviews,http://booking.com/hotel/us/patrick-39-s-place.html#hotelTmpl
98,Very Good,Three-Bedroom on Brainerd Road Apt 22,8.0,15 reviews,http://booking.com/hotel/us/three-bedroom-apartment-on-brainerd-road-22.html#hotelTmpl
99,Very Good,Hilton Boston Back Bay,8.2,525 reviews,http://booking.com/hotel/us/boston-back-bay.html#hotelTmpl
100,Very Good,"Modern, Spacious, Two Bedroom With Balcony!",8.1,"2,805 reviews",http://booking.com/hotel/us/modern-spacious-two-bedroom-with-balcony.html#hotelTmpl
101,Review score,Concord Square by Short Term Rentals Boston,6.9,572 reviews,http://booking.com/hotel/us/44-concord-square-boston-ma-back-bay-47-south-end.html#hotelTmpl
102,Awesome,One-Bedroom on Beacon Street Apt 201,9.0,7 reviews,http://booking.com/hotel/us/two-bedroom-apartment-on-beacon-street-201.html#hotelTmpl
103,Exceptional,Boston Yacht Haven,9.5,392 reviews,http://booking.com/hotel/us/boston-yacht-haven.html#hotelTmpl
104,Awesome,14 Gloucester Street 1B,9.1,9 reviews,http://booking.com/hotel/us/14-gloucester-st-unit-1b.html#hotelTmpl
105,Excellent,Studio on Arch Street Apt 4E,9.6,8 reviews,http://booking.com/hotel/us/studio-on-arch.html#hotelTmpl
106,Excellent,Studio on Arch Street Apt 4A,8.8,8 reviews,http://booking.com/hotel/us/studio-on-arch-street-4a.html#hotelTmpl
107,Review score,Charles River Inn,6.6,892 reviews,http://booking.com/hotel/us/charles-river-motel.html#hotelTmpl
108,Excellent,Boston Marriott Copley Place,8.6,"1,076 reviews",http://booking.com/hotel/us/copley-mariott.html#hotelTmpl
109,Awesome,Apartment in Historic Location,9.2,19 reviews,http://booking.com/hotel/us/apartment-in-historic-location.html#hotelTmpl
110,Very Good,Copley Garrison,8.3,170 reviews,http://booking.com/hotel/us/copley-garrison.html#hotelTmpl
111,,Two-Bedroom on Hamilton Place Apt 501,,,http://booking.com/hotel/us/two-bedroom-on-hamilton-place-apt-501.html#hotelTmpl
112,Good,Apartment in the Heart of Boston,7.8,10 reviews,http://booking.com/hotel/us/luxury-1-bed-apartment-in-the-heart-of-boston.html#hotelTmpl
113,Very Good,Revere Hotel Boston Common,8.4,"2,027 reviews",http://booking.com/hotel/us/revere-boston.html#hotelTmpl
114,Review score,Two-Bedroom on Hamilton Place Apt 303,6.9,"2,252 reviews",http://booking.com/hotel/us/two-bedroom-on-hamilton-place-apt-303.html#hotelTmpl
115,Awesome,A Street Apartment by Stay Alfred,9.2,107 reviews,http://booking.com/hotel/us/315-on-a-by-stay-alfred.html#hotelTmpl
116,Good,Best Western Plus Boston Hotel,7.3,"1,165 reviews",http://booking.com/hotel/us/bw-roundhouse-suites.html#hotelTmpl
117,Very Good,DoubleTree by Hilton Hotel Boston - Downtown,8.2,782 reviews,http://booking.com/hotel/us/doubletree-boston-downtown.html#hotelTmpl
118,Very Good,Copley Square Hotel,8.5,770 reviews,http://booking.com/hotel/us/copley-square.html#hotelTmpl
119,Review score,Studio on Washington Street Apt 301,6.7,"1,406 reviews",http://booking.com/hotel/us/studio-on-washington-street-apt-301.html#hotelTmpl
120,Review score,Studio on Washington Street Apt 301,6.7,"1,406 reviews",http://booking.com/hotel/us/studio-on-washington-street-apt-301.html#hotelTmpl
121,Very Good,Studio on Arch Street Apt 4B,8.1,"2,805 reviews",http://booking.com/hotel/us/studio-on-arch-street-4b.html#hotelTmpl
122,Very Good,Boston Christopher,8.1,288 reviews,http://booking.com/hotel/us/boston-christopher.html#hotelTmpl
123,Very Good,Two-Bedroom on Hamilton Place Apt 401,10,"2,805 reviews",http://booking.com/hotel/us/two-bedroom-on-hamilton-place-apt-401.html#hotelTmpl
124,Very Good,Two-Bedroom on D Street Apt 312,8.3,420 reviews,http://booking.com/hotel/us/two-bedroom-on-d-street-apt-312.html#hotelTmpl
125,Good,Boston Newbury,7.8,173 reviews,http://booking.com/hotel/us/boston-newbury.html#hotelTmpl
126,Awesome,Three-Bedroom on D Street Apt 20,9.3,5 reviews,http://booking.com/hotel/us/three-bedroom-on-d-street-apt-20.html#hotelTmpl
127,Awesome,Boston Harbor Hotel,9.3,361 reviews,http://booking.com/hotel/us/boston-harbor.html#hotelTmpl
128,Very Good,Embassy Suites Boston at Logan Airport,8.2,756 reviews,http://booking.com/hotel/us/embassy-boston-logan.html#hotelTmpl
129,Good,Global Luxury Suites at Kenmore Square,7.7,51 reviews,http://booking.com/hotel/us/gsa-luxury-apartments-at-1330-boylston-steet.html#hotelTmpl
130,Review score,Charming 2 Bedroom Apartment by the Green Line with Private Parking,10,"2,252 reviews",http://booking.com/hotel/us/charming-apt-2br-47-1bath-1-private-parking-spot.html#hotelTmpl
131,Very Good,One-Bedroom on Warrenton Street Apt 20,8.1,32 reviews,http://booking.com/hotel/us/one-bedroom-on-warrenton-street-apt-20.html#hotelTmpl
132,Very Good,Hampton Inn Boston Logan Airport,8.2,754 reviews,http://booking.com/hotel/us/hampton-inn-logan-air.html#hotelTmpl
133,Excellent,"The Envoy Hotel, Autograph Collection",8.8,230 reviews,http://booking.com/hotel/us/the-envoy-autograph-collection.html#hotelTmpl
134,Excellent,One-Bedroom on D Street Apt 350,9.6,8 reviews,http://booking.com/hotel/us/one-bedroom-on-d-street-apt-350.html#hotelTmpl
135,Good,One-Bedroom on Arch Street Apt 2C,7.8,14 reviews,http://booking.com/hotel/us/one-bedroom-apartment-on-arch-street-2c.html#hotelTmpl
136,Good,Beautiful 2BR/1BA in convenient North End location,7.3,136 reviews,http://booking.com/hotel/us/beautiful-2br-47-1ba-in-convenient-north-end-location.html#hotelTmpl
137,Exceptional,Welcome to Boston,9.6,8 reviews,http://booking.com/hotel/us/welcome-to-boston.html#hotelTmpl
138,Very Good,Boston Little Italy Two Bedrooms (H2D),6.7,710 reviews,http://booking.com/hotel/us/boston-little-italy-two-bedrooms-h2d.html#hotelTmpl
